id,"nama_dosen",jabatanfungsional_id,"url",programstudi_id,perguruantinggi_id
90,"Setiadi Yazid",2,"https://forlap.ristekdikti.go.id/dosen/detail/MjgzNDIwMzAtOEQ3Ni00RERGLUFENUItQTk2MDg4QkQ2MEJC",9,19
91,"Suryana Setiawan",4,"https://forlap.ristekdikti.go.id/dosen/detail/OTI3Q0EyMjMtOUUzMC00RTIyLTgxMDgtMEYxM0ZBQjFGNzlC",8,19
92,"T Basaruddin",3,"https://forlap.ristekdikti.go.id/dosen/detail/NjhFMkY0NEYtRjU4Ri00MEJDLTlFQzAtNTdEQkM1NjEzMjA2",7,19
93,"Widijanto Satyo Nugroho",2,"https://forlap.ristekdikti.go.id/dosen/detail/QTI2MjFBNUMtRkQ2MS00NzRCLTg2MzAtNjg4MUY0REU0MjFB",7,19
94,"Wisnu Jatmiko",3,"https://forlap.ristekdikti.go.id/dosen/detail/NUIyOTVFMjMtOEE0Qi00N0ZFLUE4REUtMkUwODhFMEYxM0Ux",7,19
95,"Yudho Giri Sucahyo",1,"https://forlap.ristekdikti.go.id/dosen/detail/QzY5RjNFMUItRTg2Mi00NjkwLTlDNUMtRTg1NTYxODk2Mzkz",9,19
96,"Yova Ruldeviyani",2,"https://forlap.ristekdikti.go.id/dosen/detail/RDBGM0YwOUEtNjE4Ni00MEMzLTg5QkMtQ0FCRkVEQzNEREEz",7,19
97,"Zainal Arifin Hasibuan",3,"https://forlap.ristekdikti.go.id/dosen/detail/MEQ4RDM5MzctMTFGQS00NERDLTk2N0EtQ0VFM0E4ODRBRDZC",9,19
98,"Wahyu Catur Wibowo",2,"https://forlap.ristekdikti.go.id/dosen/detail/NTExMkUyOEQtM0JDMS00NkE3LTlCQzUtQjc2N0I0RDU2N0RF",8,19
99,"Toemin A Masoem",3,"https://forlap.ristekdikti.go.id/dosen/detail/ODg2ODhBMEYtQUIxQS00OEY0LTlDMUItQjA2NkRFMUY4OEVF",8,19
100,"Tisha Melia",5,"https://forlap.ristekdikti.go.id/dosen/detail/Qjg5RjM1RDItMzk3Mi00RTZBLUJDRjEtQjRDOEVDMTkyRjcw",7,19
101,"Siti Aminah",4,"https://forlap.ristekdikti.go.id/dosen/detail/OTFBMTc1QjEtQkJDMy00NURBLUIyMTYtMjE5OUY3MUM1NTc0",7,19
102,"Satrio Baskoro Yudhoatmojo",4,"https://forlap.ristekdikti.go.id/dosen/detail/MDg1MjRFQUQtNEFEQS00Q0M5LUIzQkYtREFGQzk2OUNFNTIw",8,19
103,"Rizal Fathoni Aji",2,"https://forlap.ristekdikti.go.id/dosen/detail/QjdDRTM2QkUtRjM2OC00M0U0LThERTgtMjY0NTUyQjg4NTlD",8,19
104,"Puspa Indahati Sandhyaduhita",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/OUY5MTI3MzYtMjAxRi00MjU2LUJBOTktQjY0N0QxNERCRkVD",8,19
105,"Muhammad Hafizhuddin Hilman",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/QjQ5N0RBNkUtNjQ1Ny00MEJBLUEzQjQtMTdGQTU3Qzk5REEy",7,19
106,"Mirna Adriani",2,"https://forlap.ristekdikti.go.id/dosen/detail/MjNGMDA5N0QtOEVGOC00OEUwLTlDMzItQTRFNDIwQjFFODJB",7,19
107,"Kasiyah",1,"https://forlap.ristekdikti.go.id/dosen/detail/MUZBMEJGM0MtQUI0Qy00NEJBLTkyMDMtN0U3NTFFQzRCNDMz",7,19
108,"Ito Wasito",2,"https://forlap.ristekdikti.go.id/dosen/detail/NkQwRUFCOTctOUI5MC00REExLThCRjctQjMwNTE4RjQxM0FE",7,19
109,"Hisar Maruli Manurung",2,"https://forlap.ristekdikti.go.id/dosen/detail/QTNEOUE0NjktNjEwMi00OUFGLUJBRDgtRDgxMDJFMzU2MzhC",7,19
110,"Heru Suhartanto",3,"https://forlap.ristekdikti.go.id/dosen/detail/Q0M1QzNBQkYtREVCNC00MjNDLUEwQUUtQjQ5NTAwRTg2NzE4",7,19
111,"Heri Kurniawan",4,"https://forlap.ristekdikti.go.id/dosen/detail/QzJDRDg3RUQtM0IwRi00RUY2LTg2ODMtNTQ1NDNDRkZEQjhC",7,19
112,"Harry Budi Santoso",2,"https://forlap.ristekdikti.go.id/dosen/detail/QjIyREVEMzktRjdFNS00RkY2LTg4MjUtMkQyQTI1QTcyQkY3",7,19
113,"Gladhi Guarddin",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/M0Y4NTI1QTYtMzkwMS00NjNFLUE3QUUtQURDODIyNUM5RDY2",7,19
114,"Erdefi Rakun",2,"https://forlap.ristekdikti.go.id/dosen/detail/RUI1ODZEQUMtMzVBOS00Q0ZFLUFDQ0YtRDg4RThDQTgxRTcx",7,19
115,"Dana Indra Sensuse",2,"https://forlap.ristekdikti.go.id/dosen/detail/MjVBNEFDRUUtNUVFNi00RjJFLTkxQjYtMjdCNjU2NzA4RDA4",7,19
116,"Dadan Hardianto",4,"https://forlap.ristekdikti.go.id/dosen/detail/M0VDMjAxMDctREJGRC00NkFCLTg2NTctNkVDNEVBMTYyOTky",8,19
117,"Betty Purwandari",4,"https://forlap.ristekdikti.go.id/dosen/detail/MjQ0QTE1NkYtMjUzNi00RTZFLThBMDMtMEIzRjU5QkVDNEYw",7,19
118,"Bayu Distiawan Trisedya",4,"https://forlap.ristekdikti.go.id/dosen/detail/MzYwQjc4MkMtNjhBRC00NjQ5LUIwMzktNUM2RjE0MENDNzdF",8,19
119,"Bayu Anggorojati",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/RUFBMEMyMDAtN0RENi00MDBELUI1MjAtMEYxREQ3MjQyMzVE",7,19
120,"B Nugroho Budi Priyanto",5,"https://forlap.ristekdikti.go.id/dosen/detail/Q0VGOThGMjQtOENDOS00RDI3LUJCODItNDg5NkUwOUExOEZB",7,19
121,"Aniati Murni Arymurthy",3,"https://forlap.ristekdikti.go.id/dosen/detail/NTVERkQwOTAtQUQ5RC00QTZDLTk0MjMtOTU3QjBDMUJGQTEz",7,19
122,"Alfan Farizki Wicaksono",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/QTcwNDFFM0EtOUI0QS00NjQ3LTg3ODQtNkU4NDcwMTI5NDY5",7,19
123,"Agus Kurniawan",5,"https://forlap.ristekdikti.go.id/dosen/detail/NThEQTQ2REQtRDgyRS00RTVCLThDNTMtRUQ5ODEyNEE3Q0Qw",7,19
124,"Adila Alfa Krisnadhi",5,"https://forlap.ristekdikti.go.id/dosen/detail/MEE3NzYwQTgtQkRFMi00QzgxLTk4NEMtMDUxOUUzNjI5QThB",7,19
125,"Adhi Yuniarto",4,"https://forlap.ristekdikti.go.id/dosen/detail/NzM0MjAyOUEtOTM1RS00NjYzLTlDMjMtNDk5QUMxRjIwOEYw",7,19
126,"Achmad Nizar Hidayanto",1,"https://forlap.ristekdikti.go.id/dosen/detail/NDk2MzcyOTEtMTQ0MC00NUI3LThEQkQtOUI2NERGRDdGQjEx",9,19
127,"Agus Zainal Arifin",1,"https://forlap.ristekdikti.go.id/dosen/detail/QkVGMEU0RkMtQzFEQy00Q0E5LUI3NTQtRTNDNzUwMzQ0QkNE",7,10
128,"Adhatus Solichah Ahmadiyah",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/NTU5QTJGNUYtNUYyNi00OUQ4LUFFRDktREVGNDIxRUQzNDA5",4,10
129,"Addin Suwastono",4,"https://forlap.ristekdikti.go.id/dosen/detail/RkFEQzhENUMtQjlDRi00MTVFLTg3QzgtMjBCMjNDOTNDOEIz",9,73
